timestamp	model	prompt_tokens	completion_tokens	total	label
2026-07-13T20:37:51+00:00	qwen2.5-coder:14b	962	255	1217	aisle-word-boundary-fix
2026-07-13T20:39:22+00:00	qwen2.5-coder:14b	735	246	981	aisle-word-boundary-tests
