timestamp	model	prompt_tokens	completion_tokens	total	label
2026-07-17T20:05:03+00:00	qwen2.5-coder:14b	336	12	348	ordm-entity-fix
2026-07-17T20:05:51+00:00	qwen2.5-coder:14b	540	395	935	ordm-entity-tests
