timestamp	model	prompt_tokens	completion_tokens	total	label
2026-07-14T09:43:25Z	qwen2.5-coder:14b	2232	55	2287	displayname-fix-draft-v1-derailed
2026-07-14T09:43:25Z	qwen2.5-coder:14b	2167	1948	4115	displayname-fix-draft-v2-full-file
